branch,step_index,method_key,input_shape,output_shape,params,zero_time_shift_samples,zero_time_shift_ns,roi_before,roi_after,roi_before_energy,roi_after_energy,roi_energy_ratio,global_energy_before,global_energy_after,global_energy_ratio,target_band_fidelity,edge_preservation,local_saliency_preservation,sanity_warnings,branch_invalid_reason,preview_png,roi_overlay_png,roi_crop_png
"""expert_manual""",1,"""set_zero_time""","[2037, 90]","[2037, 90]","{""new_zero_time"": 0.0}",0,0.0,"{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}","{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}",977.6275159727811,977.6275159727811,1.0,18483.34775358647,18483.34775358647,1.0,1.0,1.0,1.0,[],"""""","""expert_manual_step_01_set_zero_time_roi_overlay.png""","""expert_manual_step_01_set_zero_time_roi_overlay.png""","""expert_manual_step_01_set_zero_time_roi_crop.png"""
"""expert_manual""",2,"""dewow""","[2037, 90]","[2037, 90]","{""window"": 23}",0,0.0,"{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}","{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}",977.6275159727811,3.622544060588933,0.003705444048374955,18483.34775358647,73.15883709343139,0.003958094500453025,0.14879986498285852,0.07633552588263959,0.07202283026201194,"[""zero-time/effective signal energy nearly disappeared"", ""target_band_fidelity is very low"", ""local_saliency_preservation collapsed"", ""edge_preservation collapsed""]","""zero-time/effective signal energy nearly disappeared""","""expert_manual_step_02_dewow_roi_overlay.png""","""expert_manual_step_02_dewow_roi_overlay.png""","""expert_manual_step_02_dewow_roi_crop.png"""
"""expert_manual""",3,"""frequency_filter_1d""","[2037, 90]","[2037, 90]","{""filter_type"": ""bandpass"", ""low_freq_mhz"": 300.0, ""high_freq_mhz"": 2500.0, ""taper_ratio"": 0.08}",0,0.0,"{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}","{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}",3.622544060588933,3.5703281289158877,0.985585839454343,73.15883709343139,72.69510498658005,0.9936612974553012,4.778909103360691e-05,1.0085999940072288,1.0026541630714085,"[""target_band_fidelity is very low""]","""zero-time/effective signal energy nearly disappeared""","""expert_manual_step_03_frequency_filter_1d_roi_overlay.png""","""expert_manual_step_03_frequency_filter_1d_roi_overlay.png""","""expert_manual_step_03_frequency_filter_1d_roi_crop.png"""
"""expert_manual""",4,"""subtracting_average_2D""","[2037, 90]","[2037, 90]","{""ntraces"": 41}",0,0.0,"{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}","{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}",3.5703281289158877,1.2905457034601795,0.361464172720743,72.69510498658005,0.06901686472570698,0.0009494018165108628,0.8813893057780726,0.11166351418842443,0.06128834225893272,"[""zero-time/effective signal energy nearly disappeared"", ""local_saliency_preservation collapsed"", ""edge_preservation collapsed""]","""zero-time/effective signal energy nearly disappeared""","""expert_manual_step_04_subtracting_average_2D_roi_overlay.png""","""expert_manual_step_04_subtracting_average_2D_roi_overlay.png""","""expert_manual_step_04_subtracting_average_2D_roi_crop.png"""
"""expert_manual""",5,"""energy_decay_gain""","[2037, 90]","[2037, 90]","{""strength"": 0.8, ""smoothing_samples"": 31, ""min_gain"": 0.6, ""max_gain"": 5.0, ""floor_ratio"": 0.05}",0,0.0,"{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}","{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}",1.2905457034601795,0.4645964894843294,0.3600000280801096,0.06901686472570698,0.027798585685056335,0.402779607499355,1259041.4768585183,0.9227064115688086,0.6814440204525853,[],"""zero-time/effective signal energy nearly disappeared""","""expert_manual_step_05_energy_decay_gain_roi_overlay.png""","""expert_manual_step_05_energy_decay_gain_roi_overlay.png""","""expert_manual_step_05_energy_decay_gain_roi_crop.png"""
"""safe_default""",1,"""set_zero_time""","[2037, 90]","[2037, 90]","{""new_zero_time"": 0.0}",0,0.0,"{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}","{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}",977.6275159727811,977.6275159727811,1.0,18483.34775358647,18483.34775358647,1.0,1.0,1.0,1.0,[],"""""","""safe_default_step_01_set_zero_time_roi_overlay.png""","""safe_default_step_01_set_zero_time_roi_overlay.png""","""safe_default_step_01_set_zero_time_roi_crop.png"""
"""safe_default""",2,"""dewow""","[2037, 90]","[2037, 90]",{},0,0.0,"{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}","{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}",977.6275159727811,3.622544060588933,0.003705444048374955,18483.34775358647,73.15883709343139,0.003958094500453025,0.14879986498285852,0.07633552588263959,0.07202283026201194,"[""zero-time/effective signal energy nearly disappeared"", ""target_band_fidelity is very low"", ""local_saliency_preservation collapsed"", ""edge_preservation collapsed""]","""zero-time/effective signal energy nearly disappeared""","""safe_default_step_02_dewow_roi_overlay.png""","""safe_default_step_02_dewow_roi_overlay.png""","""safe_default_step_02_dewow_roi_crop.png"""
"""safe_default""",3,"""frequency_filter_1d""","[2037, 90]","[2037, 90]",{},0,0.0,"{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}","{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}",3.622544060588933,1.1921458474062936,0.3290907791505181,73.15883709343139,34.3640953999932,0.46971899452292687,1.55636946289319e-05,0.741183379980241,0.557206517480838,"[""target_band_fidelity is very low""]","""zero-time/effective signal energy nearly disappeared""","""safe_default_step_03_frequency_filter_1d_roi_overlay.png""","""safe_default_step_03_frequency_filter_1d_roi_overlay.png""","""safe_default_step_03_frequency_filter_1d_roi_crop.png"""
"""safe_default""",4,"""subtracting_average_2D""","[2037, 90]","[2037, 90]",{},0,0.0,"{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}","{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}",1.1921458474062936,0.7863766246619338,0.6596312241264972,34.3640953999932,0.04972400853330514,0.0014469756283273206,0.8687892426235145,0.113228746756702,0.006009463529077177,"[""zero-time/effective signal energy nearly disappeared"", ""local_saliency_preservation collapsed"", ""edge_preservation collapsed""]","""zero-time/effective signal energy nearly disappeared""","""safe_default_step_04_subtracting_average_2D_roi_overlay.png""","""safe_default_step_04_subtracting_average_2D_roi_overlay.png""","""safe_default_step_04_subtracting_average_2D_roi_crop.png"""
"""safe_default""",5,"""energy_decay_gain""","[2037, 90]","[2037, 90]",{},0,0.0,"{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}","{""time_start_idx"": 760, ""time_end_idx"": 883, ""dist_start_idx"": 38, ""dist_end_idx"": 51}",0.7863766246619338,0.19659415616548345,0.25,0.04972400853330514,0.02493809828882781,0.50153032759063,27347314.94616155,1.3314302075680835,0.6353430363400918,[],"""zero-time/effective signal energy nearly disappeared""","""safe_default_step_05_energy_decay_gain_roi_overlay.png""","""safe_default_step_05_energy_decay_gain_roi_overlay.png""","""safe_default_step_05_energy_decay_gain_roi_crop.png"""
